ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
38;"МИНФИН РЕСПУБЛИКИ МОРДОВИЯ (ГАУ РМ ""ЛЕДОВЫЙ ДВОРЕЦ"")";;;;;;;;;;;;;;;7 (8342) 23-40-00, +7 (8342) 38-01-60, +7 (8342) 39-19-67;;;;;;;;;;;;;https://www.rusprofile.ru/id/187855?utm_source=tender-win.ru;icepalacerm@e-mordovia.ru, icepalace@mail.ru, ICEPALACE-MORD@mail.ru;;;;;;;;;;;;;;;;;;;;(00000000000000000244, 30096Ц76501) СГЗ Оплата за насос по счету №5821 от 15.05.2023г., в т.ч. НДС - 99812,79;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1326201272    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;"ООО ""ДОМ""";;;;;;;;;;;;;;;7 (8342) 47-09-36, +7 (8342) 23-34-02, +7 (8342) 48-17-14, +7 (812) 347-09-36;;;;;;;;;;;;;https://www.rusprofile.ru/id/2446475?utm_source=tender-win.ru;ooo_dom@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за материалы по сч.№6430 от 22.06.2022г Cумма 53411-52, в т.ч. НДС(20%) - 8901-92.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1326203390    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;"ООО "" ДОМКОМ - СЕРВИС 1 """;;;;;;;;;;;;;;;+7 (8342) 32-44-71;;;;;;;;;;;;;https://www.rusprofile.ru/id/3926309?utm_source=tender-win.ru;DOMKOM-SERVIS@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету 288116880 от 26.01.2023г за прокладки EPDM, пластины AISI316 0.5TL Сумма 58072-00 В т.ч. НДС (20%) 9678-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1326205703    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;"ООО ""ВКМ - СТАЛЬ""";;;;;;;;;;;;;;;7 (8342) 29-42-22, +7 (8342) 25-25-25, +7 (8342) 79-03-18;;;;;;;;;;;;;https://www.rusprofile.ru/id/211688?utm_source=tender-win.ru;vkm@saransk.ru, vkm@vkm.rmrail.ru, vkm@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за пластины по Договору N 189/54/22 от 15.12.2022, Спецификации N1 от 15.12.2022гСумма 297000-00В т.ч. НДС(20%) 49500-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1327000226    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС - М""";;;;;;;;;;;;;;;7 (8342) 34-01-02, +7 (962) 597-80-77;;;;;;;;;;;;;https://www.rusprofile.ru/id/5984775?utm_source=tender-win.ru;teploservice13@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за материалы по счет-договору N288117538 от 16.02.2023г. В том числе НДС 20%, 6848.01 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1327016402    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРОКОНТАКТ М""";;;;;;;;;;;;;;;+7 963 148-21-94;;;;;;;;;;;;;https://www.rusprofile.ru/id/1221300000437?utm_source=tender-win.ru;79374126463@yandex.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №18539/RUB от 21 июня 2022 г.За пластину. Сумма 13410-00. В том числе НДС 20%, 2235.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1327038501    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;"АК ""АЛРОСА"" (ПАО)";;;;;;;;;;;;;;;7 (41136) 7-87-55, 7 (41136) 4-44-26, +7 (41136) 4-14-89, +7 (4112) 31-36-14;;;;;;;;;;;;;https://www.rusprofile.ru/id/2988571?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;Оплата по Договору N 6101056935 от 09.11.2022 (Купля продажа/поставка ТМЦ), С/Ф 1215-09 от 15.12.2022. УМТС В т.ч. НДС 76499.49 20%;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1433000147    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;ООО НМ;;;;;;;;;;;;;;;7 (41147) 4-29-90, +7 (41147) 4-53-80, +7 (495) 961-30-86;;;;;;;;;;;;;https://www.rusprofile.ru/id/7776466?utm_source=tender-win.ru;info.nordgold@nordgold.com, nm.sekretar@severstalresurs.ru, menedzer.Ofis@nordgold.com;;;;;;;;;;;;;;;;;;;;Оплата по Дог. N НМ-13.06.2019 от 13.06.2019 за Пластина с/ф N 230120-17 от 20.01.2023 В том числе НДС 20% - 177600,00.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1434024359    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;"ООО ""НЭТА""";;;;;;;;;;;;;;;7 (41147) 4-53-24, +7 (41147) 6-80-22, +7 (41147) 6-80-29;;;;;;;;;;;;;https://www.rusprofile.ru/id/97347?utm_source=tender-win.ru;netpochti@net.ru, neta.66@mail.ru, netaneta2@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за прокладки по счету № 3862 от 28.03.2023г. В т. ч. НДС 20% - 5848.80 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1434027215    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;"ООО ""РПБК""";;;;;;;;;;;;;;;7 (41147) 9-71-10, +7 (41147) 4-64-07, +7 (41147) 9-70-00;;;;;;;;;;;;;https://www.rusprofile.ru/id/11404425?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;100% оплата по счету N 9240 от 26,07,23 за тепообменник по договору N 41511 от 16.05.2022, Спецификация N2/41511 от 26.07.2023,  НДС (20%), 42891-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1434050856    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;"АО ""ЯКУТСКИЙ ХЛЕБОКОМБИНАТ""";;;;;;;;;;;;;;;7 (4112) 45-90-01, +7 (4112) 45-94-11, +7 (4112) 45-94-56;;;;;;;;;;;;;https://www.rusprofile.ru/id/3563484?utm_source=tender-win.ru;yxk2002@mail.ru, makarova.yxk@mail.ru, yhk_plan@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за уплотнители S14A EPDM , согласно Счета № 11846 от 28.09.2023г. В том числе НДС 20 % - 8691.67 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435071552    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;"ООО ""ТД Исток""";;;;;;;;;;;;;;;7 (4112) 21-22-80, +7 (4112) 46-44-50;;;;;;;;;;;;;https://www.rusprofile.ru/id/824367?utm_source=tender-win.ru;altezzavod@mail.com, 1435125448_143501001@esotel.ru, zhdanoff.s@tdistok.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 14077 от 22/11/23 за уплотнение, НДС в т.ч.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435125448    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;"АО ""ТЕПЛОЭНЕРГОСЕРВИС""";;;;;;;;;;;;;;;7 (4112) 49-84-09, +7 (4112) 49-84-27, +7 (4112) 49-84-00, +7 (4112) 49-44-66;;;;;;;;;;;;;https://www.rusprofile.ru/id/4198717?utm_source=tender-win.ru;priem@tes.yakutskenergo.ru, ooo.r1450@nalog.ru, ok-tes@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата поставщику за поставку ТМЦ по договору 10/055-М \590 от 07.09.2022 г.Сумма 354000,00 руб. НДС20% 59000,00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435191592    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖЭУ ЦЕНТРАЛЬНОЕ""";;;;;;;;;;;;;;;+7 (4112) 42-41-85;;;;;;;;;;;;;https://www.rusprofile.ru/id/7281332?utm_source=tender-win.ru;jeu-center@bk.ru, z304@rambler.ru;;;;;;;;;;;;;;;;;;;;Частичная оплата по счету № 10632 от 26.09.2022 г. Циркуляционный насос Сумма 58114-23 В т.ч. НДС  (20%) 9685-71;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435280588    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;"ООО ""МОНТАЖСЕРВИС""";;;;;;;;;;;;;;;7 (914) 227-34-03, +7 (4112) 40-19-12;;;;;;;;;;;;;https://www.rusprofile.ru/id/7423281?utm_source=tender-win.ru;89142273403@mail.ru, vasil.zaxaroff2014@yandex.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету № 10470 от 04.09.2023г. за насос TD. В том числе НДС 20 % - 23317.22 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435287840    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;"ООО ""Спринт-Строй""";;;;;;;;;;;;;;;+7 (964) 425-22-78;;;;;;;;;;;;;https://www.rusprofile.ru/id/7385572?utm_source=tender-win.ru;rossvet724200@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №3661 ОТ 23.03.2023Г ЗА НАСОС Сумма 74218-30 В т.ч. НДС  (20%) 12369-72;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435288805    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;"ООО ""САХАРЕСУРС""";;;;;;;;;;;;;;;8(4112)325-328;;;;;;;;;;;;;https://www.rusprofile.ru/id/7532589?utm_source=tender-win.ru;status-servis@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету №6457 от 28.02.2022г за насос Сумма 217924-00 В т.ч. НДС  (20%) 36320-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435292368    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГИЯ""";;;;;;;;;;;;;;;7 (4112) 47-39-75, +7 (4112) 35-71-16, +7 (4112) 24-49-87, +7 (4112) 33-87-26;;;;;;;;;;;;;https://www.rusprofile.ru/id/11427016?utm_source=tender-win.ru;yakutsk@sakha.ru, 357116@mail.ru, buhg5otryad@bk.ru;;;;;;;;;;;;;;;;;;;;Оплата по сч. N 135116948 от 20.02.2023 согл. дог. 2023.21116 от 20.02.2023 уплотнения, пластины Сумма 1080156-00 В т.ч. НДС (20%) 180026-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1435332211    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;"АО ""Химзавод им. Карпова""";;;;;;;;;;;;;;;7 (85549) 2-76-55, +7 (85549) 2-12-51, +7 (85549) 2-76-53;;;;;;;;;;;;;https://www.rusprofile.ru/id/3051025?utm_source=tender-win.ru;root@karpovchem.ru, oge@karpovchem.ru, m.sadykova@karpovchem.ru;;;;;;;;;;;;;;;;;;;;Оплата 50% за аппараты пластинчатые по счету № 146127208 от 22.12.2023г. Сумма 240000-00 руб. В т.ч. НДС (20%) 40000-00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1627001703    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;"АО ""ПТФК ""ЗТЭО""";;;;;;;;;;;;;;;+7 (8552) 20-20-22;;;;;;;;;;;;;https://www.rusprofile.ru/id/9586694?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;Оплата за уплотнениеТ20Р-EPDM-CLIP по сч. N 158110823 от 11.07.2022 Сумма 241060-00 В т.ч. НДС (20%) 40176-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1639049844    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;"ПАО ""Татнефть"" им. В.Д. Шашина";;;;;;;;;;;;;;;7 (843) 292-67-71, +7 (84345) 9-29-05, +7 (85557) 2-51-09;;;;;;;;;;;;;https://www.rusprofile.ru/id/4137678?utm_source=tender-win.ru;TNR@tatneft.ru, alimovaor@tatneft.ru, atp.oe@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по С/Ф1124-16 от 24.11.2021 по договору 0083/19/2021/502 от 10.11.2021 за поставку ТМЦ (10%) В т.ч. НДС 13 134,8руб. УРПС;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1644003838    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;"ООО ""Компьютерный мир""";;;;;;;;;;;;;;;7 (8553) 31-26-69, +7 (8553) 45-84-57, +7 (8553) 45-89-83;;;;;;;;;;;;;https://www.rusprofile.ru/id/1339059?utm_source=tender-win.ru;svn@tatkm.ru, sim@tatkm.ru, gylnara1974@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету N9607 от 20.11.2023 137880-60 руб.За пластины В т.ч. НДС (20%) 22980-10 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1644019299    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;"ООО ""АЙРОН""";;;;;;;;;;;;;;;+7 (85594) 5-86-28;;;;;;;;;;;;;https://www.rusprofile.ru/id/5707553?utm_source=tender-win.ru;notareuc@mail.ru;;;;;;;;;;;;;;;;;;;;За насос по счету 13478 от 07.11.2023  Сумма 117877-50 В т.ч. НДС  (20%) 19646-25;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1645026860    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;"АО ""ЗАИНСКИЙ САХАР""";;;;;;;;;;;;;;;7 (85558) 5-67-61, +7 (987) 290-00-00, +7 (85558) 3-47-44;;;;;;;;;;;;;https://www.rusprofile.ru/id/301025?utm_source=tender-win.ru;market@zaisahar.ru, aozs.tb@agrosila-holding.ru, offis@zaisahar.ru;;;;;;;;;;;;;;;;;;;;Предоплата 50% за пластины с уплотнениями T20SFG по договору N ЗС-323 от 20.07.2023г. согл. Счет на оплату N 130120729 от 13.07.2023 В т.ч. НДС (20%) 181005-00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1647008721    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;"АО ""ЗЕЛЕНОДОЛЬСКИЙ ЗАВОД ИМЕНИ А.М.  ГОРЬКОГО""";;;;;;;;;;;;;;;7 (84371) 5-81-06, +7 (84371) 5-76-10, +7 (84371) 5-78-00;;;;;;;;;;;;;https://www.rusprofile.ru/id/2815374?utm_source=tender-win.ru;tpbp@zdship.ru, info@zdship.ru, omksis@zdship.ru;;;;;;;;;;;;;;;;;;;;аванс 100% по сч. 16333/RUB от 28.01.2022 за насос В том числе НДС 20% включенный в сумму - 7020,83;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1648013442    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;"АО ""Зеленодольское ПТС""";;;;;;;;;;;;;;;7 (84371) 6-04-82, +7 (843) 213-56-70, +7 (84371) 3-38-07;;;;;;;;;;;;;https://www.rusprofile.ru/id/1250264?utm_source=tender-win.ru;zgpts@mail.ru, sbyt@zpts.ru, zreestr@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата за пластины, прокладки по счету №17697/RUB от 29.04.2022г. Сумма 26712-00 В т.ч. НДС  (20%) 4452-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1648017567    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;"ООО ""ПТИЦЕВОДЧЕСКИЙ КОМПЛЕКС ""АК БАРС""";;;;;;;;;;;;;;;7 (843) 673-00-01, +7 (843) 253-25-33, +7 (843) 673-00-94;;;;;;;;;;;;;https://www.rusprofile.ru/id/665226?utm_source=tender-win.ru;milhabi@yandex.ru, 2586158@gmail.com, pvkakbars@mail.ru;;;;;;;;;;;;;;;;;;;;Договор поставки № 76-2023 от 05.05.23 Счет№241123957  от  01.09.23. за комплект пластин S22 Сумма 625236-30 В т.ч. НДС(20%) 104206-05;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1648022038    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;"ООО ""ОТК""";;;;;;;;;;;;;;;7 (84371) 5-55-56, +7 (919) 640-50-67, +7 (843) 225-73-03;;;;;;;;;;;;;https://www.rusprofile.ru/id/10200688?utm_source=tender-win.ru;svs@osinteplocom.ru, info@osinteplocom.ru, marc.raisa@mail.ru;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 19717/RUB ОТ 19.08.2022 ЗА S100 УПЛОТНЕНИЕ EPDM СУММА 26240-00 В Т.Ч. НДС (20%) 4373-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1648041792    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;"ООО ""АДС - 05"" Г.ЗЕЛЕНОДОЛЬСКА";;;;;;;;;;;;;;;+7 (84371) 4-30-67;;;;;;;;;;;;;https://www.rusprofile.ru/id/1211600071242?utm_source=tender-win.ru;jklmn@inbox.ru;;;;;;;;;;;;;;;;;;;;Оплата по сч.N299121996 от 06.07.2023 за т.м.ц Сумма 84095-00 В т.ч. НДС (20%) 14015-83;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1648054375    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;"ЗАОр ""НП НЧ КБК им.С.П.Титова""";;;;;;;;;;;;;;;7 (917) 398-21-56, +7 (8552) 46-05-97, +7 (8552) 79-17-39;;;;;;;;;;;;;https://www.rusprofile.ru/id/3387818?utm_source=tender-win.ru;nkbk@nkbk.ru, postmaster@kbk.chelny.ru;;;;;;;;;;;;;;;;;;;;Предоплата за зап.части по договору N 195-ЕР-2022 от 10.08.2022г руб спец.3 счет N2561118513 от 28.12.22 44638-00 руб. В т.ч. НДС (20%) 7439-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650017638    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;"ОАО ""ЧЕЛНЫ ХОЛОД""";;;;;;;;;;;;;;;7 (8552) 39-72-52, +7 (8552) 53-15-20, +7 (8552) 53-72-52;;;;;;;;;;;;;https://www.rusprofile.ru/id/529819?utm_source=tender-win.ru;ice@coolworid.cheiny.ru, ok@chelny-holod.ru;;;;;;;;;;;;;;;;;;;;"За получ. пластины, уплотнения по дог.117-Е-2022 от 15.12.22г. (окончат. расчет)., с/ф 230301-15 от 01/03/23;230322-20 от 22/03/23г. Сумма 141435-00 В т.ч. НДС(20%) 23572-50";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650079031    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУЧ""";;;;;;;;;;;;;;;+7 (937) 595-64-20;;;;;;;;;;;;;https://www.rusprofile.ru/id/7442383?utm_source=tender-win.ru;td-gelios@mail.ru;;;;;;;;;;;;;;;;;;;;Предоплата за аппарат пластинчатый по счету N146116216 от 28.12.2022 г. В том числе НДС 20%, 30000.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650301737    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;"ООО ""АГРОСИЛА-МОЛОКО""";;;;;;;;;;;;;;;+7 (8552) 70-73-51;;;;;;;;;;;;;https://www.rusprofile.ru/id/11056096?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;Аванс 50% за уплотнения и пластины теплообменного оборудования. по договору № АМ-2023/92 от 28.08.2023г. согл. Счет на оплату № 241122946/1 от 20.09.2023Сумма 770154-00В т.ч. НДС(20%) 128359-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1650350325    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";;;;;;;;;;;;;;;7 (8555) 37-70-09, +7 (8555) 37-75-73, +7 (8555) 36-85-67;;;;;;;;;;;;;https://www.rusprofile.ru/id/2130830?utm_source=tender-win.ru;nknh@nknh.ru, ezhovea@nknh.ru, hakimovavr@nknh.ru;;;;;;;;;;;;;;;;;;;;Дог.4600068402 от 08.11.2022 г. Опл. по сч.факт.230706-3251011998352023 Уплотнение Viton TCP 21~В т.ч. НДС 20%- 24012-80;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1651000010    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;"АО ""ТАНЕКО""";;;;;;;;;;;;;;;7 (8555) 36-61-33, +7 (8555) 36-35-66, +7 (8555) 49-02-01;;;;;;;;;;;;;https://www.rusprofile.ru/id/2187357?utm_source=tender-win.ru;sanations@taneco.ru, REFERENT@office.nnpz.ru, volodina_gv@taneco.ru;;;;;;;;;;;;;;;;;;;;"Оплата за пластины для Цех N14 ПГС по УПД N 1123-01 от 23.11.2022 по договору 836/13.02-06/22 от 22.08.2022; В т.ч. НДС (20%) 55120-00";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1651044095    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;"ООО ""ПЭСТ""";;;;;;;;;;;;;;;7 (8555) 37-71-14, +7 (8555) 37-50-33;;;;;;;;;;;;;https://www.rusprofile.ru/id/2094144?utm_source=tender-win.ru;;;;;;;;;;;;;;;;;;;;;Оплата по договору №34 от 28.08.2023  за уплотнение, сч.№130122107 от 28.08.2023г. Сумма 159937-20 В том числе НДС 20.00 % - 26656.20 р.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1651057270    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;"ООО ""Бикотекс""";;;;;;;;;;;;;;;88002013253;;;;;;;;;;;;;https://www.rusprofile.ru/id/11702825?utm_source=tender-win.ru;info@bicotex.ru;;;;;;;;;;;;;;;;;;;;Предоплата 50% за пластинчатый аппарат по счет-договору N 299123450 от 11.08.2023  104325-50 руб. В т.ч. НДС (20%) 17387-58 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1651084080    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;"АО ""Казанский хлебозавод №3""";;;;;;;;;;;;;;;7 (843) 238-31-41, +7 (917) 277-22-77, +7 (843) 236-34-29;;;;;;;;;;;;;https://www.rusprofile.ru/id/1812334?utm_source=tender-win.ru;marketinghleb3@mail.ru, kznhleb3@mail.ru, 9kazanhleb3.ru@mail.ru;;;;;;;;;;;;;;;;;;;;За зап.части д/тепловых узлов по сч.№7143 от 06.06.23г. согл.дог.№726 от 18.09.19г. Сумма 62779-20 В т.ч. НДС  (20%) 10463-20;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1655016934    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;СоюзСервис Общество с ограниченной ответственностью;;;;;;;;;;;;;;;7 (843) 210-17-20, +7 (843) 227-52-98, +7 (843) 210-16-20;;;;;;;;;;;;;https://www.rusprofile.ru/id/942788?utm_source=tender-win.ru;ooossp@mail.ru;;;;;;;;;;;;;;;;;;;;Оплата по счету N 146120013 от 08.06.2023г за S41 прокладку EPDM 89585-00 руб. В т.ч. НДС (20%) 14930-83 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1655083930    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;"Филиал АО "" ТАТМЕДИА"" ""ПИК ""Идел--Пресс""";;;;;;;;;;;;;;;7 (843) 222-09-84, +7 (937) 615-05-29, +7 (843) 519-44-71;;;;;;;;;;;;;https://www.rusprofile.ru/id/7378536?utm_source=tender-win.ru;andrey.kuzmin@tatar.ru, 1655144950_165501001@eo.tensor.ru, ditkina@tatmedia.com;;;;;;;;;;;;;;;;;;;;по сч 17713/RUB  от 13.05.2022г.  уплотнение,в т.ч. НДС(20%) 4016,67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;1655144950    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
